
CDOTA_Unit_Hero_Alchemist = 294 - DT_DOTA_Unit_Hero_Alchemist, count 1
CDOTA_Unit_Hero_Necrolyte = 347 - DT_DOTA_Unit_Hero_Necrolyte, count 1 
CDOTA_Unit_Hero_Nevermore = 348 - DT_DOTA_Unit_Hero_Nevermore, count 1 
CDOTA_Unit_Hero_NightStalker = 349 - DT_DOTA_Unit_Hero_NightStalker, count 1 
CDOTA_Unit_Hero_Nyx_Assassin = 350 - DT_DOTA_Unit_Hero_Nyx_Assassin, count 1 
CDOTA_Unit_Hero_Obsidian_Destroyer = 351 - DT_DOTA_Unit_Hero_Obsidian_Destroyer, count 1 
CDOTA_Unit_Hero_Ogre_Magi = 352 - DT_DOTA_Unit_Hero_Ogre_Magi, count 1 
CDOTA_Unit_Hero_Omniknight = 353 - DT_DOTA_Unit_Hero_Omniknight, count 1 
CDOTA_Unit_Hero_PhantomAssassin = 354 - DT_DOTA_Unit_Hero_PhantomAssassin, count 1 
CDOTA_Unit_Hero_PhantomLancer = 355 - DT_DOTA_Unit_Hero_PhantomLancer, count 1 
CDOTA_Unit_Hero_Puck = 356 - DT_DOTA_Unit_Hero_Puck, count 1 
CDOTA_Unit_Hero_Pudge = 357 - DT_DOTA_Unit_Hero_Pudge, count 1 
CDOTA_Unit_Hero_Pugna = 358 - DT_DOTA_Unit_Hero_Pugna, count 1 
CDOTA_Unit_Hero_QueenOfPain = 359 - DT_DOTA_Unit_Hero_QueenOfPain, count 1 
CDOTA_Unit_Hero_Rattletrap = 360 - DT_DOTA_Unit_Hero_Rattletrap, count 1 
CDOTA_Unit_Hero_Razor = 361 - DT_DOTA_Unit_Hero_Razor, count 1 
CDOTA_Unit_Hero_Riki = 362 - DT_DOTA_Unit_Hero_Riki, count 1 
CDOTA_Unit_Hero_Rubick = 363 - DT_DOTA_Unit_Hero_Rubick, count 1 
CDOTA_Unit_Hero_SandKing = 364 - DT_DOTA_Unit_Hero_SandKing, count 1 
CDOTA_Unit_Hero_Shadow_Demon = 365 - DT_DOTA_Unit_Hero_Shadow_Demon, count 1 
CDOTA_Unit_Hero_ShadowShaman = 366 - DT_DOTA_Unit_Hero_ShadowShaman, count 1 
CDOTA_Unit_Hero_Shredder = 367 - DT_DOTA_Unit_Hero_Shredder, count 1 
CDOTA_Unit_Hero_Silencer = 368 - DT_DOTA_Unit_Hero_Silencer, count 1 
CDOTA_Unit_Hero_SkeletonKing = 369 - DT_DOTA_Unit_Hero_SkeletonKing, count 1 
CDOTA_Unit_Hero_Skywrath_Mage = 370 - DT_DOTA_Unit_Hero_Skywrath_Mage, count 1 
CDOTA_Unit_Hero_Slardar = 371 - DT_DOTA_Unit_Hero_Slardar, count 1 
CDOTA_Unit_Hero_Slark = 372 - DT_DOTA_Unit_Hero_Slark, count 1 
CDOTA_Unit_Hero_Sniper = 373 - DT_DOTA_Unit_Hero_Sniper, count 1 
CDOTA_Unit_Hero_Spectre = 374 - DT_DOTA_Unit_Hero_Spectre, count 1 
CDOTA_Unit_Hero_SpiritBreaker = 375 - DT_DOTA_Unit_Hero_SpiritBreaker, count 1 
CDOTA_Unit_Hero_StormSpirit = 376 - DT_DOTA_Unit_Hero_StormSpirit, count 1 
CDOTA_Unit_Hero_Sven = 377 - DT_DOTA_Unit_Hero_Sven, count 1 
CDOTA_Unit_Hero_TemplarAssassin = 378 - DT_DOTA_Unit_Hero_TemplarAssassin, count 1 
CDOTA_Unit_Hero_Tidehunter = 379 - DT_DOTA_Unit_Hero_Tidehunter, count 1 
CDOTA_Unit_Hero_Tinker = 380 - DT_DOTA_Unit_Hero_Tinker, count 1 
CDOTA_Unit_Hero_Tiny = 381 - DT_DOTA_Unit_Hero_Tiny, count 1 
CDOTA_Unit_Hero_Treant = 382 - DT_DOTA_Unit_Hero_Treant, count 1 
CDOTA_Unit_Hero_TrollWarlord = 383 - DT_DOTA_Unit_Hero_TrollWarlord, count 1 
CDOTA_Unit_Hero_Tusk = 384 - DT_DOTA_Unit_Hero_Tusk, count 1 
CDOTA_Unit_Hero_Undying = 385 - DT_DOTA_Unit_Hero_Undying, count 1 
CDOTA_Unit_Hero_Ursa = 386 - DT_DOTA_Unit_Hero_Ursa, count 1 
CDOTA_Unit_Hero_VengefulSpirit = 387 - DT_DOTA_Unit_Hero_VengefulSpirit, count 1 
CDOTA_Unit_Hero_Venomancer = 388 - DT_DOTA_Unit_Hero_Venomancer, count 1 
CDOTA_Unit_Hero_Viper = 389 - DT_DOTA_Unit_Hero_Viper, count 1 
CDOTA_Unit_Hero_Visage = 390 - DT_DOTA_Unit_Hero_Visage, count 1 
CDOTA_Unit_Hero_Warlock = 391 - DT_DOTA_Unit_Hero_Warlock, count 1
CDOTA_Unit_Hero_Weaver = 392 - DT_DOTA_Unit_Hero_Weaver, count 1 
CDOTA_Unit_Hero_Windrunner = 393 - DT_DOTA_Unit_Hero_Windrunner, count 1 
CDOTA_Unit_Hero_Wisp = 394 - DT_DOTA_Unit_Hero_Wisp, count 1 
CDOTA_Unit_Hero_WitchDoctor = 395 - DT_DOTA_Unit_Hero_WitchDoctor, count 1 
CDOTA_Unit_Hero_Zuus = 396 - DT_DOTA_Unit_Hero_Zuus, count 1
