Time,Hero0,Hero0Posx,Hero0Posy,Hero1,Hero1Posx,Hero1Posy,Hero2,Hero2Posx,Hero2Posy,Hero3,Hero3Posx,Hero3Posy,Hero4,Hero4Posx,Hero4Posy,Hero5,Hero5Posx,Hero5Posy,Hero6,Hero6Posx,Hero6Posy,Hero7,Hero7Posx,Hero7Posy,Hero8,Hero8Posx,Hero8Posy,Hero9,Hero9Posx,Hero9Posy
21, DT_DOTA_Unit_Hero_Sniper,5755.0,7633.0,DT_DOTA_Unit_Hero_Axe,10893.0,2133.0,DT_DOTA_Unit_Hero_Omniknight,10721.0,2673.0,DT_DOTA_Unit_Hero_Earthshaker,827.0,8963.0,DT_DOTA_Unit_Hero_Juggernaut,834.0,9843.0,DT_DOTA_Unit_Hero_WitchDoctor,12867.0,4947.0,DT_DOTA_Unit_Hero_Broodmother,3869.0,11992.0,DT_DOTA_Unit_Hero_Slardar,13576.0,7025.0,DT_DOTA_Unit_Hero_VengefulSpirit,12943.0,5009.0,DT_DOTA_Unit_Hero_Nevermore,7122.0,8018.0,
23, DT_DOTA_Unit_Hero_Sniper,5745.0,7578.0,DT_DOTA_Unit_Hero_Axe,11398.0,2265.0,DT_DOTA_Unit_Hero_Omniknight,10721.0,2643.0,DT_DOTA_Unit_Hero_Earthshaker,885.0,9254.0,DT_DOTA_Unit_Hero_Juggernaut,818.0,10178.0,DT_DOTA_Unit_Hero_WitchDoctor,12354.0,4891.0,DT_DOTA_Unit_Hero_Broodmother,3355.0,12125.0,DT_DOTA_Unit_Hero_Slardar,13580.0,6587.0,DT_DOTA_Unit_Hero_VengefulSpirit,12393.0,4976.0,DT_DOTA_Unit_Hero_Nevermore,6826.0,7848.0,
25, DT_DOTA_Unit_Hero_Sniper,5745.0,7578.0,DT_DOTA_Unit_Hero_Axe,11860.0,2405.0,DT_DOTA_Unit_Hero_Omniknight,10721.0,2643.0,DT_DOTA_Unit_Hero_Earthshaker,786.0,9564.0,DT_DOTA_Unit_Hero_Juggernaut,860.0,10542.0,DT_DOTA_Unit_Hero_WitchDoctor,12708.0,4869.0,DT_DOTA_Unit_Hero_Broodmother,2879.0,12241.0,DT_DOTA_Unit_Hero_Slardar,13582.0,6199.0,DT_DOTA_Unit_Hero_VengefulSpirit,11943.0,4725.0,DT_DOTA_Unit_Hero_Nevermore,6733.0,7794.0,
27, DT_DOTA_Unit_Hero_Sniper,5590.0,7378.0,DT_DOTA_Unit_Hero_Axe,12302.0,2709.0,DT_DOTA_Unit_Hero_Omniknight,10721.0,2653.0,DT_DOTA_Unit_Hero_Earthshaker,835.0,9865.0,DT_DOTA_Unit_Hero_Juggernaut,859.0,10960.0,DT_DOTA_Unit_Hero_WitchDoctor,12590.0,4909.0,DT_DOTA_Unit_Hero_Broodmother,2355.0,12256.0,DT_DOTA_Unit_Hero_Slardar,13577.0,5802.0,DT_DOTA_Unit_Hero_VengefulSpirit,11997.0,4581.0,DT_DOTA_Unit_Hero_Nevermore,6699.0,7819.0,
28, DT_DOTA_Unit_Hero_Sniper,5550.0,7477.0,DT_DOTA_Unit_Hero_Axe,12675.0,3017.0,DT_DOTA_Unit_Hero_Omniknight,10721.0,2653.0,DT_DOTA_Unit_Hero_Earthshaker,842.0,10117.0,DT_DOTA_Unit_Hero_Juggernaut,847.0,11301.0,DT_DOTA_Unit_Hero_WitchDoctor,12159.0,4844.0,DT_DOTA_Unit_Hero_Broodmother,1922.0,12029.0,DT_DOTA_Unit_Hero_Slardar,13490.0,5464.0,DT_DOTA_Unit_Hero_VengefulSpirit,12319.0,4452.0,DT_DOTA_Unit_Hero_Nevermore,7051.0,8092.0,
30, DT_DOTA_Unit_Hero_Sniper,5487.0,7440.0,DT_DOTA_Unit_Hero_Axe,13024.0,3374.0,DT_DOTA_Unit_Hero_Omniknight,10721.0,2653.0,DT_DOTA_Unit_Hero_Earthshaker,846.0,10433.0,DT_DOTA_Unit_Hero_Juggernaut,717.0,11550.0,DT_DOTA_Unit_Hero_WitchDoctor,12652.0,4854.0,DT_DOTA_Unit_Hero_Broodmother,1603.0,11862.0,DT_DOTA_Unit_Hero_Slardar,13469.0,5055.0,DT_DOTA_Unit_Hero_VengefulSpirit,12789.0,4682.0,DT_DOTA_Unit_Hero_Nevermore,7021.0,8086.0,
32, DT_DOTA_Unit_Hero_Sniper,5667.0,7626.0,DT_DOTA_Unit_Hero_Axe,12634.0,3535.0,DT_DOTA_Unit_Hero_Omniknight,10494.0,2951.0,DT_DOTA_Unit_Hero_Earthshaker,825.0,10480.0,DT_DOTA_Unit_Hero_Juggernaut,829.0,11479.0,DT_DOTA_Unit_Hero_WitchDoctor,12281.0,4888.0,DT_DOTA_Unit_Hero_Broodmother,930.0,11741.0,DT_DOTA_Unit_Hero_Slardar,13436.0,4712.0,DT_DOTA_Unit_Hero_VengefulSpirit,13128.0,5141.0,DT_DOTA_Unit_Hero_Nevermore,7113.0,8085.0,
33, DT_DOTA_Unit_Hero_Sniper,6074.0,7759.0,DT_DOTA_Unit_Hero_Axe,12578.0,3524.0,DT_DOTA_Unit_Hero_Omniknight,10480.0,2966.0,DT_DOTA_Unit_Hero_Earthshaker,1250.0,10138.0,DT_DOTA_Unit_Hero_Juggernaut,707.0,11207.0,DT_DOTA_Unit_Hero_WitchDoctor,12209.0,4880.0,DT_DOTA_Unit_Hero_Broodmother,544.0,11570.0,DT_DOTA_Unit_Hero_Slardar,13548.0,4863.0,DT_DOTA_Unit_Hero_VengefulSpirit,12781.0,4799.0,DT_DOTA_Unit_Hero_Nevermore,7114.0,8291.0,
35, DT_DOTA_Unit_Hero_Sniper,6406.0,7812.0,DT_DOTA_Unit_Hero_Axe,12560.0,3267.0,DT_DOTA_Unit_Hero_Omniknight,10397.0,3094.0,DT_DOTA_Unit_Hero_Earthshaker,1743.0,9813.0,DT_DOTA_Unit_Hero_Juggernaut,1089.0,11377.0,DT_DOTA_Unit_Hero_WitchDoctor,12640.0,4971.0,DT_DOTA_Unit_Hero_Broodmother,917.0,11434.0,DT_DOTA_Unit_Hero_Slardar,13494.0,4834.0,DT_DOTA_Unit_Hero_VengefulSpirit,12396.0,4346.0,DT_DOTA_Unit_Hero_Nevermore,7610.0,8430.0,
37, DT_DOTA_Unit_Hero_Sniper,6430.0,7653.0,DT_DOTA_Unit_Hero_Axe,12995.0,3551.0,DT_DOTA_Unit_Hero_Omniknight,10386.0,3133.0,DT_DOTA_Unit_Hero_Earthshaker,2116.0,9355.0,DT_DOTA_Unit_Hero_Juggernaut,705.0,11325.0,DT_DOTA_Unit_Hero_WitchDoctor,12869.0,4979.0,DT_DOTA_Unit_Hero_Broodmother,944.0,11258.0,DT_DOTA_Unit_Hero_Slardar,13460.0,4813.0,DT_DOTA_Unit_Hero_VengefulSpirit,12070.0,3870.0,DT_DOTA_Unit_Hero_Nevermore,7626.0,8443.0,
39, DT_DOTA_Unit_Hero_Sniper,6840.0,7944.0,DT_DOTA_Unit_Hero_Axe,13117.0,3728.0,DT_DOTA_Unit_Hero_Omniknight,10362.0,3211.0,DT_DOTA_Unit_Hero_Earthshaker,2550.0,9056.0,DT_DOTA_Unit_Hero_Juggernaut,504.0,11797.0,DT_DOTA_Unit_Hero_WitchDoctor,13174.0,4747.0,DT_DOTA_Unit_Hero_Broodmother,608.0,11566.0,DT_DOTA_Unit_Hero_Slardar,13460.0,4813.0,DT_DOTA_Unit_Hero_VengefulSpirit,12499.0,3574.0,DT_DOTA_Unit_Hero_Nevermore,7842.0,8740.0,
41, DT_DOTA_Unit_Hero_Sniper,7159.0,8275.0,DT_DOTA_Unit_Hero_Axe,13033.0,3788.0,DT_DOTA_Unit_Hero_Omniknight,10338.0,3278.0,DT_DOTA_Unit_Hero_Earthshaker,2827.0,8669.0,DT_DOTA_Unit_Hero_Juggernaut,439.0,12208.0,DT_DOTA_Unit_Hero_WitchDoctor,13108.0,4911.0,DT_DOTA_Unit_Hero_Broodmother,674.0,11857.0,DT_DOTA_Unit_Hero_Slardar,13433.0,4820.0,DT_DOTA_Unit_Hero_VengefulSpirit,12750.0,3558.0,DT_DOTA_Unit_Hero_Nevermore,7924.0,8740.0,
42, DT_DOTA_Unit_Hero_Sniper,7357.0,8456.0,DT_DOTA_Unit_Hero_Axe,12846.0,3556.0,DT_DOTA_Unit_Hero_Omniknight,10319.0,3357.0,DT_DOTA_Unit_Hero_Earthshaker,2979.0,8931.0,DT_DOTA_Unit_Hero_Juggernaut,557.0,11925.0,DT_DOTA_Unit_Hero_WitchDoctor,12859.0,4677.0,DT_DOTA_Unit_Hero_Broodmother,788.0,11772.0,DT_DOTA_Unit_Hero_Slardar,13507.0,4633.0,DT_DOTA_Unit_Hero_VengefulSpirit,12635.0,3558.0,DT_DOTA_Unit_Hero_Nevermore,7840.0,8740.0,
43, DT_DOTA_Unit_Hero_Sniper,7458.0,8559.0,DT_DOTA_Unit_Hero_Axe,12598.0,3553.0,DT_DOTA_Unit_Hero_Omniknight,10349.0,3314.0,DT_DOTA_Unit_Hero_Earthshaker,3218.0,9293.0,DT_DOTA_Unit_Hero_Juggernaut,686.0,11558.0,DT_DOTA_Unit_Hero_WitchDoctor,12758.0,4542.0,DT_DOTA_Unit_Hero_Broodmother,1065.0,11773.0,DT_DOTA_Unit_Hero_Slardar,13531.0,4554.0,DT_DOTA_Unit_Hero_VengefulSpirit,12228.0,3740.0,DT_DOTA_Unit_Hero_Nevermore,8201.0,8850.0,
45, DT_DOTA_Unit_Hero_Sniper,7469.0,8767.0,DT_DOTA_Unit_Hero_Axe,12279.0,3629.0,DT_DOTA_Unit_Hero_Omniknight,10625.0,2864.0,DT_DOTA_Unit_Hero_Earthshaker,3658.0,9560.0,DT_DOTA_Unit_Hero_Juggernaut,730.0,11535.0,DT_DOTA_Unit_Hero_WitchDoctor,12792.0,4636.0,DT_DOTA_Unit_Hero_Broodmother,1125.0,11832.0,DT_DOTA_Unit_Hero_Slardar,13462.0,4776.0,DT_DOTA_Unit_Hero_VengefulSpirit,11894.0,3992.0,DT_DOTA_Unit_Hero_Nevermore,8388.0,8816.0,
47, DT_DOTA_Unit_Hero_Sniper,7209.0,8729.0,DT_DOTA_Unit_Hero_Axe,12534.0,3692.0,DT_DOTA_Unit_Hero_Omniknight,10772.0,2444.0,DT_DOTA_Unit_Hero_Earthshaker,4060.0,9756.0,DT_DOTA_Unit_Hero_Juggernaut,879.0,11876.0,DT_DOTA_Unit_Hero_WitchDoctor,12926.0,4761.0,DT_DOTA_Unit_Hero_Broodmother,920.0,11651.0,DT_DOTA_Unit_Hero_Slardar,13542.0,4774.0,DT_DOTA_Unit_Hero_VengefulSpirit,12064.0,3859.0,DT_DOTA_Unit_Hero_Nevermore,8433.0,8869.0,
48, DT_DOTA_Unit_Hero_Sniper,6935.0,8491.0,DT_DOTA_Unit_Hero_Axe,12518.0,3696.0,DT_DOTA_Unit_Hero_Omniknight,10764.0,2480.0,DT_DOTA_Unit_Hero_Earthshaker,4361.0,10016.0,DT_DOTA_Unit_Hero_Juggernaut,868.0,11915.0,DT_DOTA_Unit_Hero_WitchDoctor,12795.0,4916.0,DT_DOTA_Unit_Hero_Broodmother,530.0,11542.0,DT_DOTA_Unit_Hero_Slardar,13525.0,4878.0,DT_DOTA_Unit_Hero_VengefulSpirit,12043.0,3825.0,DT_DOTA_Unit_Hero_Nevermore,8520.0,8852.0,
50, DT_DOTA_Unit_Hero_Sniper,6601.0,8237.0,DT_DOTA_Unit_Hero_Axe,12793.0,3628.0,DT_DOTA_Unit_Hero_Omniknight,10978.0,2263.0,DT_DOTA_Unit_Hero_Earthshaker,4745.0,9828.0,DT_DOTA_Unit_Hero_Juggernaut,846.0,11619.0,DT_DOTA_Unit_Hero_WitchDoctor,12349.0,4897.0,DT_DOTA_Unit_Hero_Broodmother,716.0,11828.0,DT_DOTA_Unit_Hero_Slardar,13505.0,4855.0,DT_DOTA_Unit_Hero_VengefulSpirit,11899.0,4252.0,DT_DOTA_Unit_Hero_Nevermore,8391.0,8496.0,
51, DT_DOTA_Unit_Hero_Sniper,6587.0,8417.0,DT_DOTA_Unit_Hero_Axe,12843.0,3502.0,DT_DOTA_Unit_Hero_Omniknight,10892.0,2424.0,DT_DOTA_Unit_Hero_Earthshaker,5024.0,9419.0,DT_DOTA_Unit_Hero_Juggernaut,930.0,11630.0,DT_DOTA_Unit_Hero_WitchDoctor,11873.0,4739.0,DT_DOTA_Unit_Hero_Broodmother,1190.0,11703.0,DT_DOTA_Unit_Hero_Slardar,13491.0,4818.0,DT_DOTA_Unit_Hero_VengefulSpirit,11854.0,3970.0,DT_DOTA_Unit_Hero_Nevermore,8019.0,8255.0,
53, DT_DOTA_Unit_Hero_Sniper,6764.0,8524.0,DT_DOTA_Unit_Hero_Axe,13247.0,3690.0,DT_DOTA_Unit_Hero_Omniknight,10764.0,2861.0,DT_DOTA_Unit_Hero_Earthshaker,4912.0,8903.0,DT_DOTA_Unit_Hero_Juggernaut,900.0,11675.0,DT_DOTA_Unit_Hero_WitchDoctor,11382.0,4545.0,DT_DOTA_Unit_Hero_Broodmother,692.0,11696.0,DT_DOTA_Unit_Hero_Slardar,13506.0,4844.0,DT_DOTA_Unit_Hero_VengefulSpirit,11617.0,4078.0,DT_DOTA_Unit_Hero_Nevermore,7669.0,8126.0,
55, DT_DOTA_Unit_Hero_Sniper,6430.0,8411.0,DT_DOTA_Unit_Hero_Axe,13392.0,3573.0,DT_DOTA_Unit_Hero_Omniknight,10316.0,2996.0,DT_DOTA_Unit_Hero_Earthshaker,4720.0,8445.0,DT_DOTA_Unit_Hero_Juggernaut,800.0,11553.0,DT_DOTA_Unit_Hero_WitchDoctor,10923.0,4379.0,DT_DOTA_Unit_Hero_Broodmother,725.0,11531.0,DT_DOTA_Unit_Hero_Slardar,13500.0,4955.0,DT_DOTA_Unit_Hero_VengefulSpirit,11257.0,4250.0,DT_DOTA_Unit_Hero_Nevermore,7188.0,8196.0,
56, DT_DOTA_Unit_Hero_Sniper,6175.0,8070.0,DT_DOTA_Unit_Hero_Axe,13623.0,3608.0,DT_DOTA_Unit_Hero_Omniknight,10268.0,3085.0,DT_DOTA_Unit_Hero_Earthshaker,4510.0,7951.0,DT_DOTA_Unit_Hero_Juggernaut,802.0,11541.0,DT_DOTA_Unit_Hero_WitchDoctor,10404.0,4290.0,DT_DOTA_Unit_Hero_Broodmother,760.0,11803.0,DT_DOTA_Unit_Hero_Slardar,13602.0,5377.0,DT_DOTA_Unit_Hero_VengefulSpirit,10740.0,4282.0,DT_DOTA_Unit_Hero_Nevermore,7051.0,8209.0,
58, DT_DOTA_Unit_Hero_Sniper,6228.0,7844.0,DT_DOTA_Unit_Hero_Axe,13973.0,3801.0,DT_DOTA_Unit_Hero_Omniknight,10302.0,3326.0,DT_DOTA_Unit_Hero_Earthshaker,4278.0,7475.0,DT_DOTA_Unit_Hero_Juggernaut,861.0,11636.0,DT_DOTA_Unit_Hero_WitchDoctor,9910.0,4117.0,DT_DOTA_Unit_Hero_Broodmother,1024.0,11868.0,DT_DOTA_Unit_Hero_Slardar,13590.0,5073.0,DT_DOTA_Unit_Hero_VengefulSpirit,10634.0,4240.0,DT_DOTA_Unit_Hero_Nevermore,7135.0,8266.0,
60, DT_DOTA_Unit_Hero_Sniper,6325.0,7853.0,DT_DOTA_Unit_Hero_Axe,13853.0,3787.0,DT_DOTA_Unit_Hero_Omniknight,10273.0,3148.0,DT_DOTA_Unit_Hero_Earthshaker,4025.0,7001.0,DT_DOTA_Unit_Hero_Juggernaut,861.0,11636.0,DT_DOTA_Unit_Hero_WitchDoctor,10107.0,4211.0,DT_DOTA_Unit_Hero_Broodmother,898.0,11910.0,DT_DOTA_Unit_Hero_Slardar,13655.0,5059.0,DT_DOTA_Unit_Hero_VengefulSpirit,10600.0,4059.0,DT_DOTA_Unit_Hero_Nevermore,7038.0,8249.0,
61, DT_DOTA_Unit_Hero_Sniper,6466.0,7862.0,DT_DOTA_Unit_Hero_Axe,13469.0,3665.0,DT_DOTA_Unit_Hero_Omniknight,10200.0,3176.0,DT_DOTA_Unit_Hero_Earthshaker,4002.0,6531.0,DT_DOTA_Unit_Hero_Juggernaut,895.0,11484.0,DT_DOTA_Unit_Hero_WitchDoctor,10371.0,4224.0,DT_DOTA_Unit_Hero_Broodmother,896.0,11778.0,DT_DOTA_Unit_Hero_Slardar,13655.0,4972.0,DT_DOTA_Unit_Hero_VengefulSpirit,10600.0,4059.0,DT_DOTA_Unit_Hero_Nevermore,7097.0,8304.0,
63, DT_DOTA_Unit_Hero_Sniper,6407.0,7324.0,DT_DOTA_Unit_Hero_Axe,13035.0,3344.0,DT_DOTA_Unit_Hero_Omniknight,10121.0,3284.0,DT_DOTA_Unit_Hero_Earthshaker,4456.0,6247.0,DT_DOTA_Unit_Hero_Juggernaut,1063.0,11471.0,DT_DOTA_Unit_Hero_WitchDoctor,10513.0,4226.0,DT_DOTA_Unit_Hero_Broodmother,1203.0,11871.0,DT_DOTA_Unit_Hero_Slardar,13563.0,4883.0,DT_DOTA_Unit_Hero_VengefulSpirit,10600.0,4059.0,DT_DOTA_Unit_Hero_Nevermore,7383.0,8384.0,
65, DT_DOTA_Unit_Hero_Sniper,6392.0,7141.0,DT_DOTA_Unit_Hero_Axe,12692.0,2912.0,DT_DOTA_Unit_Hero_Omniknight,10181.0,3409.0,DT_DOTA_Unit_Hero_Earthshaker,5049.0,6160.0,DT_DOTA_Unit_Hero_Juggernaut,938.0,11596.0,DT_DOTA_Unit_Hero_WitchDoctor,10789.0,4077.0,DT_DOTA_Unit_Hero_Broodmother,486.0,12100.0,DT_DOTA_Unit_Hero_Slardar,13383.0,4631.0,DT_DOTA_Unit_Hero_VengefulSpirit,10793.0,4134.0,DT_DOTA_Unit_Hero_Nevermore,7451.0,8451.0,
66, DT_DOTA_Unit_Hero_Sniper,6406.0,7276.0,DT_DOTA_Unit_Hero_Axe,12629.0,2792.0,DT_DOTA_Unit_Hero_Omniknight,10242.0,3281.0,DT_DOTA_Unit_Hero_Earthshaker,5193.0,6146.0,DT_DOTA_Unit_Hero_Juggernaut,917.0,11574.0,DT_DOTA_Unit_Hero_WitchDoctor,10860.0,4070.0,DT_DOTA_Unit_Hero_Broodmother,345.0,12232.0,DT_DOTA_Unit_Hero_Slardar,13383.0,4631.0,DT_DOTA_Unit_Hero_VengefulSpirit,10847.0,4154.0,DT_DOTA_Unit_Hero_Nevermore,7500.0,8486.0,
68, DT_DOTA_Unit_Hero_Sniper,6592.0,7806.0,DT_DOTA_Unit_Hero_Axe,12482.0,2614.0,DT_DOTA_Unit_Hero_Omniknight,10728.0,2925.0,DT_DOTA_Unit_Hero_Earthshaker,4660.0,6015.0,DT_DOTA_Unit_Hero_Juggernaut,942.0,11559.0,DT_DOTA_Unit_Hero_WitchDoctor,10724.0,4144.0,DT_DOTA_Unit_Hero_Broodmother,645.0,12020.0,DT_DOTA_Unit_Hero_Slardar,13357.0,4532.0,DT_DOTA_Unit_Hero_VengefulSpirit,11179.0,4413.0,DT_DOTA_Unit_Hero_Nevermore,7350.0,8385.0,
69, DT_DOTA_Unit_Hero_Sniper,6595.0,7936.0,DT_DOTA_Unit_Hero_Axe,12623.0,2614.0,DT_DOTA_Unit_Hero_Omniknight,10959.0,2531.0,DT_DOTA_Unit_Hero_Earthshaker,4420.0,5971.0,DT_DOTA_Unit_Hero_Juggernaut,946.0,11518.0,DT_DOTA_Unit_Hero_WitchDoctor,10682.0,4162.0,DT_DOTA_Unit_Hero_Broodmother,1119.0,11669.0,DT_DOTA_Unit_Hero_Slardar,13236.0,4239.0,DT_DOTA_Unit_Hero_VengefulSpirit,10744.0,4046.0,DT_DOTA_Unit_Hero_Nevermore,7393.0,8432.0,
71, DT_DOTA_Unit_Hero_Sniper,6729.0,8155.0,DT_DOTA_Unit_Hero_Axe,12525.0,2460.0,DT_DOTA_Unit_Hero_Omniknight,11350.0,2341.0,DT_DOTA_Unit_Hero_Earthshaker,4088.0,6317.0,DT_DOTA_Unit_Hero_Juggernaut,1018.0,11577.0,DT_DOTA_Unit_Hero_WitchDoctor,10993.0,4224.0,DT_DOTA_Unit_Hero_Broodmother,1119.0,11669.0,DT_DOTA_Unit_Hero_Slardar,12996.0,3827.0,DT_DOTA_Unit_Hero_VengefulSpirit,10667.0,3995.0,DT_DOTA_Unit_Hero_Nevermore,7758.0,8435.0,
